Nicotine Experiment Craving Levels 
Nicotine_wLikertFaces_cravePlot_40min_10Puff
12	FP
Craving Level:	50	09:58:04 at 0.13145 s
Craving Level:	50	09:58:05 at 0.62534 s
Craving Level:	50	09:58:05 at 0.76532 s
Craving Level:	50	09:58:05 at 0.9574 s
Craving Level:	50	09:58:05 at 1.1321 s
Craving Level:	50	09:58:06 at 1.3535 s
Craving Level:	50	09:58:06 at 1.5733 s
Craving Level:	50	09:58:06 at 1.7389 s
Craving Level:	50	09:58:06 at 1.9581 s
Craving Level:	50	09:58:06 at 2.126 s
Craving Level:	50	09:58:07 at 2.3451 s
Craving Level:	50	09:58:07 at 2.5634 s
Craving Level:	50	09:58:07 at 2.728 s
Craving Level:	50	09:58:07 at 2.9476 s
Craving Level:	50	09:58:07 at 3.17 s
Craving Level:	50	09:58:08 at 3.3353 s
Craving Level:	50	09:58:08 at 3.5533 s
Craving Level:	50	09:58:08 at 3.7715 s
Craving Level:	50	09:58:08 at 3.9359 s
Craving Level:	50	09:58:08 at 4.1575 s
Craving Level:	50	09:58:09 at 4.3755 s
Craving Level:	50	09:58:09 at 4.5392 s
Craving Level:	50	09:58:09 at 4.7573 s
Craving Level:	50	09:58:09 at 4.926 s
Craving Level:	50	09:58:09 at 5.144 s
Craving Level:	50	09:58:10 at 5.363 s
Craving Level:	50	09:58:10 at 5.5271 s
Craving Level:	50	09:58:10 at 5.7459 s
Craving Level:	50	09:58:10 at 5.9648 s
Craving Level:	50	09:58:10 at 6.1305 s
Craving Level:	50	09:58:11 at 6.3492 s
Craving Level:	50	09:58:11 at 6.5678 s
Craving Level:	50	09:58:11 at 6.7334 s
Craving Level:	49	09:58:11 at 6.9543 s
Craving Level:	49	09:58:11 at 7.1759 s
Craving Level:	48	09:58:12 at 7.341 s
Craving Level:	47	09:58:12 at 7.5602 s
Craving Level:	46	09:58:12 at 7.7266 s
Craving Level:	45	09:58:12 at 7.943 s
Craving Level:	44	09:58:12 at 8.164 s
Craving Level:	43	09:58:13 at 8.3289 s
Craving Level:	42	09:58:13 at 8.5466 s
Craving Level:	41	09:58:13 at 8.7643 s
Craving Level:	40	09:58:13 at 8.9288 s
Craving Level:	40	09:58:13 at 9.1494 s
Craving Level:	40	09:58:14 at 9.3675 s
Craving Level:	40	09:58:14 at 9.5321 s
Craving Level:	40	09:58:14 at 9.7501 s
Craving Level:	40	09:58:14 at 9.968 s
Craving Level:	39	09:58:14 at 10.1348 s
Craving Level:	38	09:58:15 at 10.3531 s
Craving Level:	37	09:58:15 at 10.5715 s
Craving Level:	37	09:58:15 at 10.7358 s
Craving Level:	36	09:58:15 at 10.9545 s
Craving Level:	35	09:58:15 at 11.1747 s
Craving Level:	34	09:58:16 at 11.3406 s
Craving Level:	33	09:58:16 at 11.5588 s
Craving Level:	32	09:58:16 at 11.7279 s
Craving Level:	31	09:58:16 at 11.9456 s
Craving Level:	31	09:58:16 at 12.1693 s
Craving Level:	30	09:58:17 at 12.3355 s
Craving Level:	30	09:58:17 at 12.5556 s
Craving Level:	30	09:58:17 at 12.7771 s
Craving Level:	30	09:58:17 at 12.9442 s
Craving Level:	30	09:58:17 at 13.1676 s
Craving Level:	30	09:58:18 at 13.3336 s
Craving Level:	30	09:58:18 at 13.5558 s
Craving Level:	30	09:58:18 at 13.726 s
Craving Level:	30	09:58:18 at 13.9433 s
Craving Level:	30	09:58:18 at 14.1665 s
Craving Level:	30	09:58:19 at 14.3323 s
Craving Level:	30	09:58:19 at 14.5528 s
Craving Level:	30	09:58:19 at 14.7742 s
Craving Level:	30	09:58:19 at 14.9397 s
Craving Level:	29	09:58:19 at 15.1622 s
Craving Level:	29	09:58:20 at 15.3279 s
Craving Level:	28	09:58:20 at 15.5485 s
Craving Level:	27	09:58:20 at 15.7695 s
Craving Level:	27	09:58:20 at 15.9363 s
Craving Level:	27	09:58:20 at 16.1593 s
Craving Level:	27	09:58:21 at 16.3263 s
Craving Level:	27	09:58:21 at 16.5472 s
Craving Level:	27	09:58:21 at 16.7687 s
Craving Level:	27	09:58:21 at 16.9344 s
Craving Level:	27	09:58:21 at 17.158 s
Craving Level:	28	09:58:22 at 17.3287 s
Craving Level:	28	09:58:22 at 17.5508 s
Craving Level:	28	09:58:22 at 17.7724 s
Craving Level:	28	09:58:22 at 17.9383 s
Craving Level:	28	09:58:22 at 18.1614 s
Craving Level:	28	09:58:23 at 18.3278 s
Craving Level:	28	09:58:23 at 18.5483 s
Craving Level:	29	09:58:23 at 18.7691 s
Craving Level:	30	09:58:23 at 18.9352 s
Craving Level:	30	09:58:23 at 19.1572 s
Craving Level:	30	09:58:24 at 19.3273 s
Craving Level:	30	09:58:24 at 19.5453 s
Craving Level:	30	09:58:24 at 19.7666 s
Craving Level:	30	09:58:24 at 19.9336 s
