Nicotine Experiment Craving Levels 
Nicotine_wLikertFaces_cravePlot_40min_10Puff
LMP_NIC_19	FP
Craving Level:	50	10:44:23 at 0.18169 s
Craving Level:	50	10:44:23 at 0.72287 s
Craving Level:	50	10:44:23 at 0.81457 s
Craving Level:	50	10:44:24 at 1.0105 s
Craving Level:	50	10:44:24 at 1.2017 s
Craving Level:	50	10:44:24 at 1.3901 s
Craving Level:	50	10:44:24 at 1.6146 s
Craving Level:	50	10:44:24 at 1.7886 s
Craving Level:	50	10:44:25 at 2.0233 s
Craving Level:	50	10:44:25 at 2.1953 s
Craving Level:	50	10:44:25 at 2.4011 s
Craving Level:	50	10:44:25 at 2.5806 s
Craving Level:	50	10:44:25 at 2.8056 s
Craving Level:	50	10:44:26 at 2.9771 s
Craving Level:	51	10:44:26 at 3.2156 s
Craving Level:	51	10:44:26 at 3.3831 s
Craving Level:	51	10:44:26 at 3.6131 s
Craving Level:	51	10:44:26 at 3.7812 s
Craving Level:	51	10:44:27 at 4.0122 s
Craving Level:	51	10:44:27 at 4.1825 s
Craving Level:	51	10:44:27 at 4.4047 s
Craving Level:	51	10:44:27 at 4.576 s
Craving Level:	52	10:44:27 at 4.7967 s
Craving Level:	53	10:44:28 at 5.0255 s
Craving Level:	54	10:44:28 at 5.1947 s
Craving Level:	55	10:44:28 at 5.4153 s
Craving Level:	56	10:44:28 at 5.5862 s
Craving Level:	57	10:44:28 at 5.8092 s
Craving Level:	57	10:44:29 at 5.9776 s
Craving Level:	58	10:44:29 at 6.2093 s
Craving Level:	59	10:44:29 at 6.3783 s
Craving Level:	60	10:44:29 at 6.6291 s
Craving Level:	60	10:44:29 at 6.8032 s
Craving Level:	61	10:44:30 at 6.9808 s
Craving Level:	62	10:44:30 at 7.2206 s
Craving Level:	63	10:44:30 at 7.4016 s
Craving Level:	64	10:44:30 at 7.6249 s
Craving Level:	65	10:44:30 at 7.7915 s
Craving Level:	66	10:44:31 at 8.0178 s
Craving Level:	66	10:44:31 at 8.1863 s
Craving Level:	68	10:44:31 at 8.423 s
Craving Level:	68	10:44:31 at 8.6 s
Craving Level:	68	10:44:31 at 8.8238 s
Craving Level:	68	10:44:32 at 8.988 s
Craving Level:	69	10:44:32 at 9.2206 s
Craving Level:	69	10:44:32 at 9.4122 s
Craving Level:	70	10:44:32 at 9.5786 s
Craving Level:	70	10:44:32 at 9.8049 s
Craving Level:	71	10:44:33 at 9.9769 s
Craving Level:	71	10:44:33 at 10.2017 s
Craving Level:	71	10:44:33 at 10.3769 s
Craving Level:	71	10:44:33 at 10.5935 s
Craving Level:	71	10:44:33 at 10.7758 s
Craving Level:	71	10:44:34 at 11.0041 s
Craving Level:	71	10:44:34 at 11.1756 s
Craving Level:	71	10:44:34 at 11.3917 s
Craving Level:	71	10:44:34 at 11.6208 s
Craving Level:	72	10:44:34 at 11.7924 s
Craving Level:	72	10:44:35 at 11.9902 s
Craving Level:	72	10:44:35 at 12.1775 s
Craving Level:	72	10:44:35 at 12.377 s
Craving Level:	72	10:44:35 at 12.607 s
Craving Level:	72	10:44:35 at 12.7782 s
Craving Level:	72	10:44:36 at 12.9781 s
Craving Level:	72	10:44:36 at 13.2016 s
Craving Level:	72	10:44:36 at 13.4253 s
Craving Level:	72	10:44:36 at 13.5979 s
Craving Level:	72	10:44:36 at 13.8237 s
Craving Level:	73	10:44:37 at 13.9977 s
Craving Level:	73	10:44:37 at 14.1866 s
Craving Level:	74	10:44:37 at 14.4174 s
Craving Level:	74	10:44:37 at 14.5925 s
Craving Level:	74	10:44:37 at 14.7765 s
Craving Level:	74	10:44:38 at 14.9943 s
Craving Level:	74	10:44:38 at 15.2224 s
Craving Level:	74	10:44:38 at 15.4273 s
Craving Level:	74	10:44:38 at 15.5973 s
Craving Level:	74	10:44:38 at 15.7864 s
Craving Level:	74	10:44:39 at 16.0086 s
Craving Level:	74	10:44:39 at 16.1959 s
Craving Level:	74	10:44:39 at 16.4222 s
Craving Level:	74	10:44:39 at 16.604 s
Craving Level:	74	10:44:39 at 16.7794 s
Craving Level:	74	10:44:40 at 17.0014 s
Craving Level:	74	10:44:40 at 17.1884 s
Craving Level:	74	10:44:40 at 17.3859 s
Craving Level:	74	10:44:40 at 17.6172 s
Craving Level:	74	10:44:40 at 17.7846 s
Craving Level:	74	10:44:41 at 18.0107 s
Craving Level:	74	10:44:41 at 18.1916 s
Craving Level:	74	10:44:41 at 18.3765 s
Craving Level:	74	10:44:41 at 18.6101 s
Craving Level:	74	10:44:41 at 18.7986 s
Craving Level:	74	10:44:42 at 18.9767 s
Craving Level:	74	10:44:42 at 19.2069 s
Craving Level:	74	10:44:42 at 19.3756 s
Craving Level:	74	10:44:42 at 19.5801 s
Craving Level:	74	10:44:42 at 19.8154 s
Craving Level:	74	10:44:43 at 19.9936 s
Craving Level:	74	10:44:43 at 20.2229 s
Craving Level:	74	10:44:43 at 20.4134 s
Craving Level:	74	10:44:43 at 20.5856 s
Craving Level:	74	10:44:43 at 20.8334 s
Craving Level:	74	10:44:44 at 21.0099 s
Craving Level:	74	10:44:44 at 21.1864 s
Craving Level:	74	10:44:44 at 21.4188 s
Craving Level:	74	10:44:44 at 21.5859 s
Craving Level:	74	10:44:44 at 21.8173 s
Craving Level:	74	10:44:45 at 22.0113 s
Craving Level:	74	10:44:45 at 22.1845 s
Craving Level:	74	10:44:45 at 22.3788 s
Craving Level:	74	10:44:45 at 22.6067 s
Craving Level:	74	10:44:45 at 22.7785 s
Craving Level:	74	10:44:46 at 23.0106 s
Craving Level:	74	10:44:46 at 23.1866 s
Craving Level:	74	10:44:46 at 23.4199 s
Craving Level:	74	10:44:46 at 23.5879 s
Craving Level:	74	10:44:46 at 23.8154 s
Craving Level:	74	10:44:47 at 23.9877 s
Craving Level:	74	10:44:47 at 24.2135 s
Craving Level:	75	10:44:47 at 24.3871 s
Craving Level:	75	10:44:47 at 24.5804 s
Craving Level:	75	10:44:47 at 24.8067 s
Craving Level:	75	10:44:48 at 24.9783 s
Craving Level:	75	10:44:48 at 25.2257 s
Craving Level:	75	10:44:48 at 25.3964 s
Craving Level:	75	10:44:48 at 25.6232 s
Craving Level:	75	10:44:48 at 25.7928 s
Craving Level:	75	10:44:49 at 25.9934 s
Craving Level:	75	10:44:49 at 26.2181 s
Craving Level:	75	10:44:49 at 26.4003 s
Craving Level:	75	10:44:49 at 26.6264 s
Craving Level:	75	10:44:49 at 26.805 s
Craving Level:	75	10:44:50 at 26.9758 s
Craving Level:	75	10:44:50 at 27.2146 s
Craving Level:	75	10:44:50 at 27.3869 s
Craving Level:	75	10:44:50 at 27.6169 s
Craving Level:	75	10:44:50 at 27.794 s
Craving Level:	75	10:44:51 at 27.9809 s
Craving Level:	75	10:44:51 at 28.2051 s
Craving Level:	75	10:44:51 at 28.3783 s
Craving Level:	75	10:44:51 at 28.6121 s
Craving Level:	75	10:44:51 at 28.7858 s
Craving Level:	75	10:44:52 at 29.0166 s
Craving Level:	75	10:44:52 at 29.2005 s
Craving Level:	75	10:44:52 at 29.376 s
Craving Level:	76	10:44:52 at 29.6048 s
Craving Level:	76	10:44:52 at 29.776 s
Craving Level:	77	10:44:53 at 30.0138 s
Craving Level:	78	10:44:53 at 30.1907 s
Craving Level:	78	10:44:53 at 30.4133 s
Craving Level:	78	10:44:53 at 30.5923 s
Craving Level:	78	10:44:53 at 30.8211 s
Craving Level:	78	10:44:54 at 30.9906 s
Craving Level:	78	10:44:54 at 31.2185 s
Craving Level:	78	10:44:54 at 31.401 s
Craving Level:	78	10:44:54 at 31.6255 s
Craving Level:	78	10:44:54 at 31.8124 s
Craving Level:	78	10:44:55 at 31.982 s
Craving Level:	78	10:44:55 at 32.2079 s
Craving Level:	78	10:44:55 at 32.3875 s
Craving Level:	78	10:44:55 at 32.6206 s
Craving Level:	78	10:44:55 at 32.7955 s
Craving Level:	78	10:44:56 at 32.976 s
Craving Level:	78	10:44:56 at 33.2062 s
Craving Level:	78	10:44:56 at 33.3777 s
Craving Level:	78	10:44:56 at 33.6169 s
Craving Level:	78	10:44:56 at 33.8156 s
Craving Level:	78	10:44:57 at 33.9872 s
Craving Level:	78	10:44:57 at 34.2264 s
Craving Level:	78	10:44:57 at 34.3996 s
Craving Level:	78	10:44:57 at 34.5763 s
Craving Level:	78	10:44:57 at 34.8044 s
Craving Level:	78	10:44:58 at 35.0143 s
Craving Level:	78	10:44:58 at 35.1931 s
Craving Level:	78	10:44:58 at 35.4229 s
Craving Level:	78	10:44:58 at 35.6116 s
Craving Level:	78	10:44:58 at 35.7924 s
Craving Level:	78	10:44:59 at 36.0204 s
Craving Level:	78	10:44:59 at 36.2105 s
Craving Level:	78	10:44:59 at 36.3787 s
Craving Level:	78	10:44:59 at 36.6077 s
Craving Level:	78	10:44:59 at 36.7822 s
Craving Level:	78	10:45:00 at 37.0148 s
Craving Level:	78	10:45:00 at 37.2002 s
Craving Level:	78	10:45:00 at 37.3778 s
Craving Level:	78	10:45:00 at 37.6016 s
Craving Level:	78	10:45:00 at 37.7758 s
Craving Level:	78	10:45:01 at 38.0143 s
Craving Level:	78	10:45:01 at 38.1902 s
Craving Level:	79	10:45:01 at 38.3766 s
Craving Level:	79	10:45:01 at 38.6195 s
Craving Level:	79	10:45:01 at 38.79 s
Craving Level:	79	10:45:02 at 39.022 s
Craving Level:	79	10:45:02 at 39.1947 s
Craving Level:	79	10:45:02 at 39.376 s
Craving Level:	79	10:45:02 at 39.5759 s
Craving Level:	79	10:45:02 at 39.8027 s
Craving Level:	79	10:45:03 at 39.9833 s
Craving Level:	79	10:45:03 at 40.2182 s
Craving Level:	79	10:45:03 at 40.3951 s
Craving Level:	79	10:45:03 at 40.576 s
Craving Level:	79	10:45:03 at 40.8114 s
Craving Level:	79	10:45:04 at 40.9817 s
Craving Level:	79	10:45:04 at 41.2197 s
Craving Level:	79	10:45:04 at 41.3894 s
Craving Level:	79	10:45:04 at 41.6157 s
Craving Level:	79	10:45:04 at 41.7961 s
Craving Level:	80	10:45:05 at 41.9774 s
Craving Level:	81	10:45:05 at 42.2164 s
Craving Level:	81	10:45:05 at 42.3897 s
Craving Level:	81	10:45:05 at 42.6228 s
Craving Level:	81	10:45:05 at 42.805 s
Craving Level:	81	10:45:06 at 42.9804 s
Craving Level:	81	10:45:06 at 43.2136 s
Craving Level:	81	10:45:06 at 43.3811 s
Craving Level:	81	10:45:06 at 43.6234 s
Craving Level:	81	10:45:06 at 43.815 s
Craving Level:	81	10:45:07 at 43.9892 s
Craving Level:	81	10:45:07 at 44.2249 s
Craving Level:	81	10:45:07 at 44.393 s
Craving Level:	81	10:45:07 at 44.5754 s
Craving Level:	81	10:45:07 at 44.8097 s
Craving Level:	81	10:45:08 at 44.9788 s
Craving Level:	81	10:45:08 at 45.225 s
Craving Level:	81	10:45:08 at 45.4247 s
Craving Level:	81	10:45:08 at 45.5949 s
Craving Level:	81	10:45:08 at 45.8202 s
Craving Level:	81	10:45:09 at 45.9936 s
Craving Level:	81	10:45:09 at 46.1894 s
Craving Level:	81	10:45:09 at 46.4194 s
Craving Level:	81	10:45:09 at 46.5944 s
Craving Level:	81	10:45:09 at 46.7763 s
Craving Level:	81	10:45:10 at 46.9967 s
Craving Level:	81	10:45:10 at 47.177 s
Craving Level:	81	10:45:10 at 47.4065 s
Craving Level:	81	10:45:10 at 47.5862 s
Craving Level:	81	10:45:10 at 47.8101 s
Craving Level:	81	10:45:11 at 47.9933 s
Craving Level:	81	10:45:11 at 48.2249 s
Craving Level:	81	10:45:11 at 48.4111 s
Craving Level:	81	10:45:11 at 48.6178 s
Craving Level:	81	10:45:11 at 48.7862 s
Craving Level:	81	10:45:12 at 49.0151 s
Craving Level:	81	10:45:12 at 49.2014 s
Craving Level:	81	10:45:12 at 49.3764 s
Craving Level:	81	10:45:12 at 49.6069 s
Craving Level:	81	10:45:12 at 49.7763 s
Craving Level:	81	10:45:13 at 50.0047 s
Craving Level:	81	10:45:13 at 50.1854 s
Craving Level:	81	10:45:13 at 50.4227 s
Craving Level:	81	10:45:13 at 50.6257 s
Craving Level:	81	10:45:13 at 50.7962 s
Craving Level:	81	10:45:14 at 51.0241 s
Craving Level:	81	10:45:14 at 51.2013 s
Craving Level:	82	10:45:14 at 51.3781 s
Craving Level:	82	10:45:14 at 51.6015 s
Craving Level:	82	10:45:14 at 51.7759 s
Craving Level:	82	10:45:15 at 52.001 s
Craving Level:	82	10:45:15 at 52.1955 s
Craving Level:	82	10:45:15 at 52.4242 s
Craving Level:	82	10:45:15 at 52.6009 s
Craving Level:	82	10:45:15 at 52.7777 s
Craving Level:	82	10:45:16 at 52.9983 s
Craving Level:	82	10:45:16 at 53.2251 s
Craving Level:	82	10:45:16 at 53.3979 s
Craving Level:	82	10:45:16 at 53.5759 s
Craving Level:	82	10:45:16 at 53.8026 s
Craving Level:	82	10:45:17 at 53.987 s
Craving Level:	82	10:45:17 at 54.2349 s
Craving Level:	82	10:45:17 at 54.4187 s
Craving Level:	82	10:45:17 at 54.5959 s
Craving Level:	82	10:45:17 at 54.8232 s
Craving Level:	82	10:45:18 at 55.0056 s
Craving Level:	82	10:45:18 at 55.1769 s
Craving Level:	82	10:45:18 at 55.4239 s
Craving Level:	82	10:45:18 at 55.5993 s
Craving Level:	82	10:45:18 at 55.8256 s
Craving Level:	82	10:45:19 at 55.9958 s
Craving Level:	82	10:45:19 at 56.1841 s
Craving Level:	82	10:45:19 at 56.4181 s
Craving Level:	82	10:45:19 at 56.6043 s
Craving Level:	82	10:45:19 at 56.7761 s
Craving Level:	82	10:45:20 at 57.01 s
Craving Level:	82	10:45:20 at 57.2042 s
Craving Level:	82	10:45:20 at 57.377 s
Craving Level:	82	10:45:20 at 57.612 s
Craving Level:	82	10:45:20 at 57.7889 s
Craving Level:	82	10:45:21 at 58.0177 s
Craving Level:	82	10:45:21 at 58.1979 s
Craving Level:	82	10:45:21 at 58.429 s
Craving Level:	82	10:45:21 at 58.612 s
Craving Level:	83	10:45:21 at 58.7843 s
Craving Level:	83	10:45:22 at 59.01 s
Craving Level:	83	10:45:22 at 59.1874 s
Craving Level:	83	10:45:22 at 59.426 s
Craving Level:	83	10:45:22 at 59.6024 s
Craving Level:	83	10:45:22 at 59.783 s
Craving Level:	83	10:45:23 at 60.0197 s
Craving Level:	83	10:45:23 at 60.214 s
Craving Level:	83	10:45:23 at 60.3858 s
Craving Level:	83	10:45:23 at 60.6104 s
Craving Level:	83	10:45:23 at 60.7784 s
Craving Level:	83	10:45:24 at 61.0085 s
Craving Level:	83	10:45:24 at 61.198 s
Craving Level:	83	10:45:24 at 61.378 s
Craving Level:	83	10:45:24 at 61.6233 s
Craving Level:	83	10:45:24 at 61.7916 s
Craving Level:	83	10:45:25 at 62.0172 s
Craving Level:	83	10:45:25 at 62.1888 s
Craving Level:	83	10:45:25 at 62.4172 s
Craving Level:	83	10:45:25 at 62.5993 s
Craving Level:	83	10:45:25 at 62.7773 s
Craving Level:	83	10:45:26 at 63.0209 s
Craving Level:	83	10:45:26 at 63.1959 s
Craving Level:	83	10:45:26 at 63.4231 s
Craving Level:	83	10:45:26 at 63.5994 s
Craving Level:	83	10:45:26 at 63.7768 s
Craving Level:	83	10:45:27 at 64.0038 s
Craving Level:	83	10:45:27 at 64.1753 s
Craving Level:	83	10:45:27 at 64.4155 s
Craving Level:	83	10:45:27 at 64.5967 s
Craving Level:	83	10:45:27 at 64.8226 s
Craving Level:	83	10:45:28 at 65.0076 s
Craving Level:	83	10:45:28 at 65.1783 s
Craving Level:	83	10:45:28 at 65.3824 s
Craving Level:	83	10:45:28 at 65.6241 s
Craving Level:	83	10:45:28 at 65.7924 s
Craving Level:	83	10:45:29 at 65.9802 s
Craving Level:	83	10:45:29 at 66.2025 s
Craving Level:	83	10:45:29 at 66.3981 s
Craving Level:	83	10:45:29 at 66.5757 s
Craving Level:	83	10:45:29 at 66.7764 s
Craving Level:	83	10:45:30 at 67.0065 s
Craving Level:	83	10:45:30 at 67.1809 s
Craving Level:	83	10:45:30 at 67.4127 s
Craving Level:	83	10:45:30 at 67.5882 s
Craving Level:	83	10:45:30 at 67.7767 s
Craving Level:	83	10:45:31 at 68.0017 s
Craving Level:	83	10:45:31 at 68.1761 s
Craving Level:	83	10:45:31 at 68.4059 s
Craving Level:	83	10:45:31 at 68.5868 s
Craving Level:	83	10:45:31 at 68.776 s
Craving Level:	83	10:45:32 at 69.0054 s
Craving Level:	83	10:45:32 at 69.1775 s
Craving Level:	83	10:45:32 at 69.4064 s
Craving Level:	83	10:45:32 at 69.61 s
Craving Level:	83	10:45:32 at 69.7835 s
Craving Level:	83	10:45:33 at 70.0083 s
Craving Level:	83	10:45:33 at 70.1839 s
Craving Level:	83	10:45:33 at 70.4114 s
Craving Level:	83	10:45:33 at 70.5879 s
Craving Level:	83	10:45:33 at 70.8197 s
Craving Level:	83	10:45:34 at 71.0037 s
Craving Level:	83	10:45:34 at 71.1769 s
Craving Level:	83	10:45:34 at 71.4047 s
Craving Level:	83	10:45:34 at 71.6 s
Craving Level:	83	10:45:34 at 71.7761 s
Craving Level:	83	10:45:35 at 72.0087 s
Craving Level:	83	10:45:35 at 72.1814 s
Craving Level:	83	10:45:35 at 72.4146 s
Craving Level:	83	10:45:35 at 72.6068 s
Craving Level:	83	10:45:35 at 72.7767 s
Craving Level:	83	10:45:36 at 73.011 s
Craving Level:	83	10:45:36 at 73.1909 s
Craving Level:	83	10:45:36 at 73.3764 s
Craving Level:	83	10:45:36 at 73.6046 s
Craving Level:	83	10:45:36 at 73.7773 s
Craving Level:	83	10:45:37 at 74.0112 s
Craving Level:	82	10:45:37 at 74.1906 s
Craving Level:	82	10:45:37 at 74.4162 s
Craving Level:	82	10:45:37 at 74.5845 s
Craving Level:	82	10:45:37 at 74.8122 s
Craving Level:	82	10:45:38 at 74.9846 s
Craving Level:	82	10:45:38 at 75.2129 s
Craving Level:	82	10:45:38 at 75.392 s
Craving Level:	82	10:45:38 at 75.5769 s
Craving Level:	82	10:45:38 at 75.7763 s
Craving Level:	82	10:45:39 at 75.997 s
