Nicotine Experiment 
SUBJECT-11	Session-001
Craving Level:	0	11:30:56 at 0.40556 s
Craving Level:	0	11:30:57 at 1.3956 s
Craving Level:	0	11:30:58 at 2.4226 s
Craving Level:	0	11:30:59 at 3.3723 s
Craving Level:	0	11:31:00 at 4.3635 s
Craving Level:	0	11:31:01 at 5.366 s
Craving Level:	0	11:31:02 at 6.4545 s
Craving Level:	3	11:31:03 at 7.4048 s
Craving Level:	5	11:31:04 at 8.3708 s
Craving Level:	8	11:31:05 at 9.3624 s
Craving Level:	10	11:31:06 at 10.5034 s
Craving Level:	10	11:31:07 at 11.4525 s
Craving Level:	8	11:31:08 at 12.4022 s
Craving Level:	8	11:31:09 at 13.3624 s
Craving Level:	8	11:31:10 at 14.3624 s
Craving Level:	8	11:31:11 at 15.4678 s
Craving Level:	8	11:31:12 at 16.4539 s
Craving Level:	8	11:31:13 at 17.4336 s
Craving Level:	8	11:31:14 at 18.3665 s
Craving Level:	8	11:31:15 at 19.3622 s
Craving Level:	8	11:31:16 at 20.362 s
Craving Level:	8	11:31:17 at 21.4488 s
Craving Level:	8	11:31:18 at 22.3991 s
Craving Level:	8	11:31:19 at 23.3627 s
Craving Level:	8	11:31:20 at 24.3639 s
Craving Level:	8	11:31:21 at 25.4813 s
Craving Level:	8	11:31:22 at 26.4303 s
Craving Level:	8	11:31:23 at 27.3635 s
Craving Level:	8	11:31:24 at 28.362 s
Craving Level:	8	11:31:25 at 29.3618 s
Craving Level:	8	11:31:26 at 30.4454 s
Craving Level:	8	11:31:27 at 31.3955 s
Craving Level:	8	11:31:28 at 32.3622 s
Craving Level:	8	11:31:29 at 33.5112 s
Craving Level:	8	11:31:30 at 34.4608 s
Craving Level:	8	11:31:31 at 35.4102 s
Craving Level:	8	11:31:32 at 36.3617 s
Craving Level:	8	11:31:33 at 37.3638 s
Craving Level:	8	11:31:34 at 38.5091 s
Craving Level:	8	11:31:35 at 39.4421 s
Craving Level:	8	11:31:36 at 40.4469 s
Craving Level:	8	11:31:37 at 41.4413 s
Craving Level:	8	11:31:38 at 42.3743 s
Craving Level:	8	11:31:39 at 43.3626 s
Craving Level:	8	11:31:40 at 44.3619 s
Craving Level:	8	11:31:41 at 45.4731 s
Craving Level:	8	11:31:42 at 46.4405 s
Craving Level:	6	11:31:43 at 47.4058 s
Craving Level:	7	11:31:44 at 48.3615 s
Craving Level:	9	11:31:45 at 49.3616 s
Craving Level:	9	11:31:46 at 50.5046 s
Craving Level:	9	11:31:47 at 51.4376 s
Craving Level:	9	11:31:48 at 52.394 s
Craving Level:	9	11:31:49 at 53.3615 s
Craving Level:	9	11:31:50 at 54.5033 s
Craving Level:	9	11:31:51 at 55.4702 s
Craving Level:	9	11:31:52 at 56.4194 s
Craving Level:	9	11:31:53 at 57.369 s
Craving Level:	9	11:31:54 at 58.3629 s
Craving Level:	9	11:31:55 at 59.5012 s
Craving Level:	9	11:31:56 at 60.4342 s
Craving Level:	9	11:31:57 at 61.4007 s
Craving Level:	9	11:31:58 at 62.3622 s
Craving Level:	9	11:31:59 at 63.3611 s
Craving Level:	9	11:32:00 at 64.3626 s
Craving Level:	9	11:32:01 at 65.4992 s
Craving Level:	9	11:32:02 at 66.432 s
Craving Level:	9	11:32:03 at 67.3989 s
Craving Level:	9	11:32:04 at 68.3626 s
Craving Level:	9	11:32:05 at 69.3635 s
Craving Level:	10	11:32:06 at 70.4981 s
Craving Level:	10	11:32:07 at 71.4468 s
Craving Level:	10	11:32:08 at 72.3797 s
Craving Level:	10	11:32:09 at 73.3613 s
Craving Level:	10	11:32:10 at 74.3622 s
Craving Level:	10	11:32:11 at 75.4619 s
Craving Level:	10	11:32:12 at 76.4336 s
Craving Level:	10	11:32:13 at 77.4279 s
Craving Level:	10	11:32:14 at 78.3609 s
Craving Level:	10	11:32:15 at 79.3624 s
Craving Level:	10	11:32:16 at 80.3608 s
Craving Level:	10	11:32:17 at 81.4598 s
Craving Level:	10	11:32:18 at 82.4271 s
Craving Level:	10	11:32:19 at 83.3756 s
Craving Level:	10	11:32:20 at 84.361 s
Craving Level:	10	11:32:21 at 85.5086 s
Craving Level:	10	11:32:22 at 86.458 s
Craving Level:	10	11:32:23 at 87.3909 s
Craving Level:	10	11:32:24 at 88.3812 s
Craving Level:	10	11:32:25 at 89.3608 s
Craving Level:	10	11:32:26 at 90.5063 s
Craving Level:	10	11:32:27 at 91.4412 s
Craving Level:	10	11:32:28 at 92.389 s
